label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
doctor,0.0,0.0,0.0,0.16840168833732605,-0.12327811121940613,0.014096397906541824,0.3917275667190552,-0.30733755230903625,-0.018757397308945656,0.6096527576446533,-0.34829577803611755,-0.06208624318242073,0.7729271650314331,-0.3461719751358032,-0.09857375174760818,0.3370019197463989,-0.6920149326324463,-0.07994664460420609,0.7113529443740845,-0.67106693983078,-0.18864837288856506,0.855435311794281,-0.44899508357048035,-0.2498505413532257,0.8692218065261841,-0.25843724608421326,-0.2658257782459259,0.3331288695335388,-0.6171257495880127,-0.12429686635732651,0.747745931148529,-0.6303039193153381,-0.20878930389881134,0.8860434293746948,-0.3790603280067444,-0.2377408742904663,0.8882890343666077,-0.174298495054245,-0.23784460127353668,0.355117529630661,-0.4428182542324066,-0.16767646372318268,0.7404542565345764,-0.4891931116580963,-0.2404830902814865,0.8677288293838501,-0.2712293565273285,-0.238289475440979,0.8699349164962769,-0.0867089182138443,-0.21508747339248657,0.3879714906215668,-0.21252042055130005,-0.20690003037452698,0.6776013374328613,-0.2438025176525116,-0.24943286180496216,0.7991011142730713,-0.12682940065860748,-0.23398907482624054,0.8329852223396301,-0.01099502295255661,-0.20606370270252228
doctor,0.0,0.0,0.0,0.13672930002212524,-0.08684613555669785,-0.06322037428617477,0.23930543661117554,-0.22986525297164917,-0.09555892646312714,0.3190079629421234,-0.3415040671825409,-0.12489400058984756,0.38779327273368835,-0.41879555583000183,-0.15784163773059845,0.10847940295934677,-0.4778110384941101,-0.06532951444387436,0.12161354720592499,-0.6840699911117554,-0.11136563122272491,0.12729723751544952,-0.8172572255134583,-0.149389386177063,0.13366296887397766,-0.9291526079177856,-0.17738762497901917,0.015465991571545601,-0.48609209060668945,-0.06983412802219391,0.0022187361028045416,-0.7142898440361023,-0.11136361211538315,-0.0011465178104117513,-0.8633410334587097,-0.1528579145669937,-0.0036799560766667128,-0.9833481907844543,-0.18169401586055756,-0.06726174801588058,-0.44415101408958435,-0.08064636588096619,-0.09750984609127045,-0.6622986793518066,-0.12720897793769836,-0.11452385783195496,-0.8056243658065796,-0.1681215763092041,-0.12833207845687866,-0.9215542674064636,-0.19498325884342194,-0.13823524117469788,-0.3647252917289734,-0.09606602042913437,-0.1644289493560791,-0.504026472568512,-0.1413092464208603,-0.16994133591651917,-0.5744516253471375,-0.16101031005382538,-0.173008531332016,-0.6270111203193665,-0.17122608423233032
doctor,0.0,0.0,0.0,0.12224515527486801,-0.10215742886066437,-0.05766185373067856,0.21258015930652618,-0.25938060879707336,-0.08850797265768051,0.2881350517272949,-0.38293465971946716,-0.1177586019039154,0.36082401871681213,-0.46835997700691223,-0.14945022761821747,0.08270330727100372,-0.4993347227573395,-0.05834684893488884,0.09336067736148834,-0.6976751685142517,-0.10448575019836426,0.09643794596195221,-0.8175819516181946,-0.14244621992111206,0.09562022984027863,-0.9255261421203613,-0.17129969596862793,-0.00835417676717043,-0.502202033996582,-0.06720919162034988,-0.03297847881913185,-0.72953200340271,-0.11049053072929382,-0.04421123117208481,-0.8662805557250977,-0.14861364662647247,-0.056908804923295975,-0.9827325940132141,-0.17606255412101746,-0.08704978972673416,-0.45694494247436523,-0.08310779929161072,-0.12816786766052246,-0.6645451784133911,-0.12687735259532928,-0.14920185506343842,-0.8002673983573914,-0.15950731933116913,-0.1660100668668747,-0.920224130153656,-0.1812065988779068,-0.15608349442481995,-0.3751978576183319,-0.10447254776954651,-0.197929248213768,-0.5335781574249268,-0.14700466394424438,-0.2214919924736023,-0.6393453478813171,-0.16791121661663055,-0.23993533849716187,-0.7397091388702393,-0.18013347685337067
doctor,0.0,0.0,0.0,0.12204473465681076,-0.10856630653142929,-0.060202740132808685,0.2122325897216797,-0.26445692777633667,-0.09416422247886658,0.2878369092941284,-0.3835342824459076,-0.12670302391052246,0.3639049828052521,-0.46384596824645996,-0.161702498793602,0.07644057273864746,-0.5009229183197021,-0.06059518828988075,0.08762560784816742,-0.6901178956031799,-0.11127405613660812,0.09188640117645264,-0.8083271384239197,-0.15357032418251038,0.09401804953813553,-0.9154906272888184,-0.1848943531513214,-0.01185853686183691,-0.5018801689147949,-0.06960511207580566,-0.031476378440856934,-0.7262840867042542,-0.11460497230291367,-0.04463649168610573,-0.8645188212394714,-0.15488053858280182,-0.05791129916906357,-0.9811105728149414,-0.1845756620168686,-0.08778735250234604,-0.45259037613868713,-0.0859718769788742,-0.1221550777554512,-0.6569995880126953,-0.13049915432929993,-0.14391891658306122,-0.7902038097381592,-0.16384471952915192,-0.16148972511291504,-0.909806489944458,-0.18683327734470367,-0.15675108134746552,-0.36435607075691223,-0.10834088176488876,-0.19654422998428345,-0.5135179162025452,-0.15146955847740173,-0.2206975370645523,-0.6182550191879272,-0.172423854470253,-0.23912081122398376,-0.7216832637786865,-0.1854861080646515
doctor,0.0,0.0,0.0,0.12371930480003357,-0.10734584182500839,-0.06020044535398483,0.21181195974349976,-0.25878673791885376,-0.09615157544612885,0.2877940237522125,-0.37637239694595337,-0.1307344138622284,0.36538973450660706,-0.46111738681793213,-0.16799022257328033,0.08220194280147552,-0.5096094608306885,-0.06021733209490776,0.08997181802988052,-0.7017078995704651,-0.11009999364614487,0.0954517126083374,-0.8195928931236267,-0.15199851989746094,0.10069410502910614,-0.9265361428260803,-0.18364031612873077,-0.0038251534570008516,-0.5080987215042114,-0.07045276463031769,-0.02617299184203148,-0.7316339015960693,-0.11574937403202057,-0.03702079877257347,-0.8675481677055359,-0.15661242604255676,-0.04679691791534424,-0.9812334179878235,-0.18705874681472778,-0.0793348103761673,-0.4571990966796875,-0.08835610747337341,-0.11434295028448105,-0.6638277173042297,-0.13503490388393402,-0.13599976897239685,-0.8013832569122314,-0.1703730821609497,-0.15243826806545258,-0.9257866144180298,-0.19491691887378693,-0.149300217628479,-0.3682563602924347,-0.11189289391040802,-0.192397341132164,-0.5214033126831055,-0.15756011009216309,-0.21665643155574799,-0.6286552548408508,-0.18055549263954163,-0.23442256450653076,-0.7364643812179565,-0.19543063640594482
doctor,0.0,0.0,0.0,0.12635672092437744,-0.10314834862947464,-0.06507539004087448,0.21658822894096375,-0.2583613991737366,-0.1028069481253624,0.29164832830429077,-0.3786887526512146,-0.13817031681537628,0.3675878942012787,-0.4579502046108246,-0.176533043384552,0.08314628899097443,-0.5026994943618774,-0.06986288726329803,0.08911130577325821,-0.7003952860832214,-0.12230179458856583,0.0905078649520874,-0.822817862033844,-0.1654091328382492,0.09000648558139801,-0.9323098063468933,-0.19776837527751923,-0.003059027949348092,-0.49942541122436523,-0.0781056135892868,-0.02657986804842949,-0.7248395681381226,-0.12637855112552643,-0.03902076557278633,-0.8629708886146545,-0.1682622730731964,-0.05133211612701416,-0.9786234498023987,-0.19915130734443665,-0.07696621865034103,-0.4478871822357178,-0.0938149094581604,-0.1115720123052597,-0.6539669036865234,-0.14166541397571564,-0.1302921622991562,-0.790643572807312,-0.17689953744411469,-0.1454894244670868,-0.9140428900718689,-0.20124678313732147,-0.14438018202781677,-0.359015554189682,-0.11561677604913712,-0.18655432760715485,-0.5108460783958435,-0.161350816488266,-0.21038870513439178,-0.6168138980865479,-0.18418996036052704,-0.22853894531726837,-0.7216248512268066,-0.19903182983398438
doctor,0.0,0.0,0.0,0.12170037627220154,-0.10857969522476196,-0.06196647137403488,0.20905888080596924,-0.265148401260376,-0.09813784062862396,0.2829856276512146,-0.3851280212402344,-0.13247661292552948,0.35826677083969116,-0.4720340371131897,-0.16955122351646423,0.0734306126832962,-0.5063601136207581,-0.06410136818885803,0.08156464248895645,-0.7037847638130188,-0.11473917961120605,0.08529483526945114,-0.8266820907592773,-0.15695737302303314,0.08829465508460999,-0.9370957612991333,-0.18887339532375336,-0.009715867228806019,-0.5031031370162964,-0.0732850506901741,-0.030871504917740822,-0.7247713208198547,-0.1196761503815651,-0.043678246438503265,-0.8630614280700684,-0.1614532768726349,-0.056157685816287994,-0.979569137096405,-0.1931079477071762,-0.08209715783596039,-0.4526582658290863,-0.09000705182552338,-0.11222849041223526,-0.6596792936325073,-0.13619758188724518,-0.13031327724456787,-0.7980222702026367,-0.1718248724937439,-0.14491795003414154,-0.9243410229682922,-0.19746239483356476,-0.1503346860408783,-0.36604198813438416,-0.1125909686088562,-0.18825654685497284,-0.5197980999946594,-0.1573086678981781,-0.2081558108329773,-0.6268942356109619,-0.1804961860179901,-0.22265924513339996,-0.7330989837646484,-0.1963386833667755
doctor,0.0,0.0,0.0,0.12119580060243607,-0.11581546068191528,-0.049826670438051224,0.20777291059494019,-0.2780643105506897,-0.07855147123336792,0.28484442830085754,-0.39805224537849426,-0.10867087543010712,0.36368346214294434,-0.48831477761268616,-0.14064323902130127,0.06809993088245392,-0.5246918201446533,-0.028261695057153702,0.07777665555477142,-0.7138868570327759,-0.07231120020151138,0.09088718146085739,-0.8281170129776001,-0.11357031017541885,0.11028679460287094,-0.9274573922157288,-0.14371539652347565,-0.011686190962791443,-0.5219761729240417,-0.040939342230558395,-0.02460608445107937,-0.7347671985626221,-0.07862785458564758,-0.023101162165403366,-0.8736966848373413,-0.11871998012065887,-0.015372931957244873,-0.9887556433677673,-0.1487479954957962,-0.0807594358921051,-0.47527897357940674,-0.06261710822582245,-0.10893408209085464,-0.67326420545578,-0.10135872662067413,-0.11760552227497101,-0.798255443572998,-0.13192325830459595,-0.1165149062871933,-0.9083178043365479,-0.15327294170856476,-0.14061565697193146,-0.39287087321281433,-0.09046772122383118,-0.17133736610412598,-0.5440366268157959,-0.12688809633255005,-0.18440955877304077,-0.647095799446106,-0.1439366191625595,-0.18945501744747162,-0.7475866675376892,-0.15497033298015594
doctor,0.0,0.0,0.0,0.13709746301174164,-0.15962380170822144,-0.018335875123739243,0.22845888137817383,-0.3692561984062195,-0.02976873330771923,0.3036101460456848,-0.5091804265975952,-0.05103246867656708,0.36869168281555176,-0.6288120150566101,-0.07329417020082474,0.07189701497554779,-0.6145902872085571,0.04825690761208534,0.08273369073867798,-0.8069751858711243,0.01884022355079651,0.10256466269493103,-0.9122681021690369,-0.018154365941882133,0.12869469821453094,-0.9906896352767944,-0.044405870139598846,-0.0019046590896323323,-0.5941176414489746,0.022934330627322197,-0.0032873162999749184,-0.8030684590339661,-0.0005207529757171869,0.020253079012036324,-0.9110333919525146,-0.03495616093277931,0.05302610248327255,-0.9885420203208923,-0.05920551344752312,-0.0707736685872078,-0.5466183423995972,-0.0134086012840271,-0.07307226955890656,-0.7528434991836548,-0.04011499136686325,-0.050780028104782104,-0.8595361709594727,-0.05457575246691704,-0.020187361165881157,-0.9386763572692871,-0.06353198736906052,-0.12882000207901,-0.467927485704422,-0.054927028715610504,-0.12722048163414001,-0.6314582824707031,-0.0763091966509819,-0.1127399206161499,-0.7246026396751404,-0.07490405440330505,-0.0910540521144867,-0.7999650239944458,-0.07180950790643692
doctor,0.0,0.0,0.0,0.19749698042869568,-0.19342681765556335,0.10179062932729721,0.27915799617767334,-0.4307801127433777,0.12922364473342896,0.3592410385608673,-0.5859999656677246,0.10917545109987259,0.42408713698387146,-0.7339693903923035,0.08583826571702957,0.07039516419172287,-0.6963338255882263,0.19108636677265167,0.13772638142108917,-0.9472841620445251,0.14940659701824188,0.27575740218162537,-0.9265860915184021,0.09015529602766037,0.36070993542671204,-0.8274322152137756,0.05535969138145447,0.025372473523020744,-0.6925811171531677,0.09143002331256866,0.11314204335212708,-0.9926791787147522,0.042272184044122696,0.2778567373752594,-0.9529047608375549,-0.023945340886712074,0.35950228571891785,-0.8231250643730164,-0.05915093794465065,-0.0002044792054221034,-0.6686733365058899,-0.015218821354210377,0.0864972174167633,-0.9692490696907043,-0.053874362260103226,0.2568179666996002,-0.9464762806892395,-0.08286979794502258,0.3421091139316559,-0.8359996676445007,-0.09344226121902466,0.006752130575478077,-0.6146693825721741,-0.11876513808965683,0.09825146198272705,-0.8691645860671997,-0.15019898116588593,0.22936062514781952,-0.9008208513259888,-0.1582316905260086,0.3116333484649658,-0.8480373024940491,-0.1579197645187378
