label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
help,0.0,0.0,0.0,-0.010603266768157482,-0.27067455649375916,-0.025763431563973427,0.0721849873661995,-0.4690672755241394,-0.052937328815460205,0.18934573233127594,-0.5814882516860962,-0.07464713603258133,0.2812557518482208,-0.648678183555603,-0.09602323919534683,0.24956980347633362,-0.44702136516571045,-0.08419555425643921,0.42674487829208374,-0.5850372314453125,-0.1291719675064087,0.533364474773407,-0.665920615196228,-0.1578894555568695,0.6135363578796387,-0.7303369045257568,-0.17524567246437073,0.32496553659439087,-0.3103529214859009,-0.09795234352350235,0.5175185799598694,-0.47907161712646484,-0.13155773282051086,0.6333706378936768,-0.5857917666435242,-0.1512545496225357,0.7202700972557068,-0.6734485626220703,-0.1663675457239151,0.3697850704193115,-0.17409002780914307,-0.11106409132480621,0.5568754076957703,-0.33577510714530945,-0.1418200135231018,0.666395366191864,-0.44599202275276184,-0.15456825494766235,0.7450637221336365,-0.535186231136322,-0.16325834393501282,0.39229774475097656,-0.04080544784665108,-0.12455620616674423,0.5414350032806396,-0.1506023406982422,-0.15504947304725647,0.625769853591919,-0.24204488098621368,-0.1607598513364792,0.6862350702285767,-0.32646051049232483,-0.16073493659496307
help,0.0,0.0,0.0,-0.019701046869158745,-0.2825479209423065,-0.017848370596766472,0.06222831457853317,-0.4848061203956604,-0.0387723445892334,0.19029423594474792,-0.5839719176292419,-0.05536513403058052,0.29042351245880127,-0.6210983991622925,-0.07227058708667755,0.2558683156967163,-0.46020689606666565,-0.0706266537308693,0.4446071684360504,-0.5767008662223816,-0.10695115476846695,0.554516613483429,-0.6499378085136414,-0.12524400651454926,0.6357377767562866,-0.7055729627609253,-0.135106161236763,0.32849010825157166,-0.31373274326324463,-0.08620081096887589,0.5261908173561096,-0.4724205732345581,-0.11479029804468155,0.6459352970123291,-0.5783445239067078,-0.13160516321659088,0.7371945381164551,-0.6603516340255737,-0.143108069896698,0.3737199306488037,-0.16339676082134247,-0.10047159343957901,0.5619838833808899,-0.32634177803993225,-0.12910054624080658,0.6753147840499878,-0.4415682554244995,-0.14617037773132324,0.7606207728385925,-0.5326253175735474,-0.15682697296142578,0.39577171206474304,-0.014609701931476593,-0.11380644142627716,0.5401672720909119,-0.1361035853624344,-0.1432187259197235,0.6250743865966797,-0.2276351898908615,-0.15047502517700195,0.6960019469261169,-0.3072914183139801,-0.1504051387310028
help,0.0,0.0,0.0,-0.01199958473443985,-0.2686682343482971,-0.013000594452023506,0.0727355107665062,-0.46520090103149414,-0.03514553979039192,0.20135891437530518,-0.569913923740387,-0.05461905896663666,0.31036877632141113,-0.6136622428894043,-0.07358257472515106,0.27114883065223694,-0.4353092312812805,-0.06244247779250145,0.45867857336997986,-0.5647348761558533,-0.10182011127471924,0.5670636892318726,-0.6334531903266907,-0.12441413104534149,0.6503891944885254,-0.6795198917388916,-0.136597141623497,0.3397601842880249,-0.29841840267181396,-0.07978148758411407,0.5396428108215332,-0.4603160619735718,-0.10834894329309464,0.6611337065696716,-0.5609651207923889,-0.1269940286874771,0.7560223340988159,-0.6394051313400269,-0.1399688869714737,0.383464515209198,-0.15643613040447235,-0.09560732543468475,0.5757172703742981,-0.3131904900074005,-0.12192793935537338,0.6896617412567139,-0.41554930806159973,-0.13596265017986298,0.7754228711128235,-0.4975765645503998,-0.14469124376773834,0.40373915433883667,-0.013359603472054005,-0.11078935116529465,0.5555983781814575,-0.12577591836452484,-0.13572724163532257,0.640910804271698,-0.21141651272773743,-0.13953474164009094,0.7092345356941223,-0.2892361581325531,-0.136921688914299
help,0.0,0.0,0.0,-0.005603136029094458,-0.27800866961479187,-0.0029241277370601892,0.07694593071937561,-0.47738081216812134,-0.016869569197297096,0.20545260608196259,-0.5876321196556091,-0.030145695433020592,0.31313225626945496,-0.6253429055213928,-0.04227778688073158,0.27692821621894836,-0.45024538040161133,-0.03489779308438301,0.4585758149623871,-0.5775301456451416,-0.06411819905042648,0.5607627034187317,-0.644832968711853,-0.08033833652734756,0.6418570280075073,-0.6917735934257507,-0.08960004150867462,0.3463714122772217,-0.3143782615661621,-0.05412856489419937,0.5391305685043335,-0.47939765453338623,-0.07718651741743088,0.6559612154960632,-0.5785886645317078,-0.09201376140117645,0.7502152919769287,-0.6532511115074158,-0.10217640548944473,0.3895377516746521,-0.1728869378566742,-0.07247951626777649,0.5696681141853333,-0.33214330673217773,-0.0956645980477333,0.6809748411178589,-0.4356438219547272,-0.1086471676826477,0.7667718529701233,-0.5185127258300781,-0.11646614968776703,0.4101015031337738,-0.02984772063791752,-0.0896497592329979,0.5526899099349976,-0.14780572056770325,-0.11004385352134705,0.634921669960022,-0.23521926999092102,-0.11218588054180145,0.7045398354530334,-0.31070172786712646,-0.10931503027677536
help,0.0,0.0,0.0,-0.009423215873539448,-0.28056561946868896,-0.003847347106784582,0.07855112105607986,-0.48327308893203735,-0.012430083006620407,0.2100592702627182,-0.584153950214386,-0.02026289701461792,0.3127955496311188,-0.6209406852722168,-0.026270469650626183,0.2986491024494171,-0.4562567174434662,-0.023887697607278824,0.4795456826686859,-0.5778109431266785,-0.045806773006916046,0.583249032497406,-0.6361041069030762,-0.060779035091400146,0.6640481352806091,-0.672940731048584,-0.06969587504863739,0.36564937233924866,-0.313292533159256,-0.040699440985918045,0.5594124794006348,-0.4725217819213867,-0.054571084678173065,0.6768731474876404,-0.5667842030525208,-0.06823156028985977,0.7688425183296204,-0.6345381736755371,-0.07901056110858917,0.4049476087093353,-0.16697169840335846,-0.057392023503780365,0.5938287973403931,-0.3230348825454712,-0.07480303943157196,0.7059924006462097,-0.4204898774623871,-0.0890006497502327,0.7881788611412048,-0.4951258599758148,-0.09864310175180435,0.42231422662734985,-0.01947198063135147,-0.07325317710638046,0.5724378824234009,-0.12876349687576294,-0.09248730540275574,0.6574798822402954,-0.21299925446510315,-0.0969204381108284,0.7242901921272278,-0.28916579484939575,-0.09581470489501953
help,0.0,0.0,0.0,-0.010999999940395355,-0.2673221826553345,0.0031121394131332636,0.07557276636362076,-0.47252312302589417,-0.0009596750023774803,0.2140752226114273,-0.5800588130950928,-0.005022387020289898,0.32181498408317566,-0.6184132695198059,-0.006668045651167631,0.29320618510246277,-0.45217931270599365,-0.008234484121203423,0.4747113883495331,-0.5783272385597229,-0.02320978417992592,0.5768328309059143,-0.6382762789726257,-0.032311443239450455,0.658775806427002,-0.6768094301223755,-0.03815379738807678,0.3636108338832855,-0.32002294063568115,-0.025569982826709747,0.5594080686569214,-0.4813022315502167,-0.03619850426912308,0.6783638000488281,-0.5719847679138184,-0.0466228611767292,0.7719560861587524,-0.6332934498786926,-0.05498417466878891,0.40375563502311707,-0.18357504904270172,-0.04291602224111557,0.5879898071289062,-0.3371867835521698,-0.05696651339530945,0.7012694478034973,-0.43626654148101807,-0.0714835524559021,0.7883325219154358,-0.5135781764984131,-0.08227472007274628,0.42226317524909973,-0.040160927921533585,-0.0589553527534008,0.5703316330909729,-0.1466054618358612,-0.07365061342716217,0.6541695594787598,-0.2302131950855255,-0.07864928245544434,0.7250022292137146,-0.3038756251335144,-0.07976637780666351
help,0.0,0.0,0.0,0.005650005768984556,-0.26892372965812683,0.00785029772669077,0.09422225505113602,-0.4581688344478607,0.0037055097054690123,0.22892658412456512,-0.5570881366729736,-0.0009837150573730469,0.3330296277999878,-0.6006298661231995,-0.004315003287047148,0.3150440752506256,-0.4375298321247101,-0.014477993361651897,0.49701401591300964,-0.561607837677002,-0.0324239544570446,0.5984824299812317,-0.6206386685371399,-0.04119298979640007,0.6805700659751892,-0.6589543223381042,-0.04572470486164093,0.38477927446365356,-0.3008090555667877,-0.03446929156780243,0.5854727029800415,-0.46033498644828796,-0.048210497945547104,0.7029268145561218,-0.5462616682052612,-0.05488673225045204,0.7948309183120728,-0.6039530634880066,-0.05902912840247154,0.42235106229782104,-0.16006264090538025,-0.053710825741291046,0.6100043058395386,-0.314363569021225,-0.06907295435667038,0.7226629257202148,-0.40984758734703064,-0.07854557782411575,0.8093909621238708,-0.4859686493873596,-0.08453725278377533,0.4355441629886627,-0.016187945380806923,-0.07116292417049408,0.5882262587547302,-0.12646189332008362,-0.08591647446155548,0.6736361980438232,-0.20808914303779602,-0.08712609112262726,0.7450217604637146,-0.2801494300365448,-0.08421533554792404
help,0.0,0.0,0.0,-0.0073552378453314304,-0.28000807762145996,-0.0026639136485755444,0.08470728993415833,-0.47745439410209656,-0.008760109543800354,0.22717095911502838,-0.5760347843170166,-0.013677810318768024,0.33440500497817993,-0.617939829826355,-0.016108933836221695,0.2988775670528412,-0.4510761797428131,-0.016020270064473152,0.48461398482322693,-0.5800123810768127,-0.034912265837192535,0.5905210375785828,-0.6394490003585815,-0.04518407583236694,0.6744397878646851,-0.6762158274650574,-0.050891291350126266,0.3681323826313019,-0.31302782893180847,-0.030460525304079056,0.5633605122566223,-0.4781642556190491,-0.045942552387714386,0.6817065477371216,-0.5676309466362,-0.05787266045808792,0.77571702003479,-0.6276185512542725,-0.06601593643426895,0.40760231018066406,-0.17467892169952393,-0.04528367891907692,0.5890496373176575,-0.33311837911605835,-0.06301473826169968,0.7021924257278442,-0.42936447262763977,-0.07784117013216019,0.7904409170150757,-0.5041901469230652,-0.0875917375087738,0.4247245490550995,-0.03405848890542984,-0.059148650616407394,0.5689184069633484,-0.14681470394134521,-0.0748448446393013,0.6534183621406555,-0.22992372512817383,-0.07922118902206421,0.7259305715560913,-0.3013435900211334,-0.07915627956390381
help,0.0,0.0,0.0,-0.0013575670309364796,-0.2779688239097595,0.0025292192585766315,0.0866575613617897,-0.4638558626174927,-0.005020810756832361,0.2220754623413086,-0.5598375201225281,-0.011318751610815525,0.3267393112182617,-0.6118977069854736,-0.015677310526371002,0.30331888794898987,-0.4392544627189636,-0.025422053411602974,0.4848656952381134,-0.5627484321594238,-0.045538537204265594,0.5890873074531555,-0.622024655342102,-0.05447651818394661,0.6734216809272766,-0.6571745872497559,-0.05837150290608406,0.37779080867767334,-0.30043086409568787,-0.04228603467345238,0.5740876197814941,-0.4644445478916168,-0.058802422136068344,0.6933408975601196,-0.5536878705024719,-0.06655588746070862,0.788029134273529,-0.6114943623542786,-0.07130740582942963,0.41983476281166077,-0.16405566036701202,-0.05804188549518585,0.6025923490524292,-0.3231906592845917,-0.0755140408873558,0.7161774635314941,-0.41975870728492737,-0.08513730019330978,0.8037256598472595,-0.49385178089141846,-0.09083711355924606,0.43508198857307434,-0.0313493013381958,-0.07232634723186493,0.5816773772239685,-0.1430487036705017,-0.08622278273105621,0.6662514805793762,-0.22226226329803467,-0.08634760230779648,0.7365768551826477,-0.29014840722084045,-0.08277836441993713
help,0.0,0.0,0.0,0.0039051068015396595,-0.2827230989933014,0.003709797514602542,0.0910734236240387,-0.4661904573440552,-0.0020255278795957565,0.22314335405826569,-0.5563689470291138,-0.0074003636837005615,0.3254395127296448,-0.5988417863845825,-0.01087714172899723,0.30584651231765747,-0.4409010410308838,-0.021004686132073402,0.48817408084869385,-0.5586276054382324,-0.04178369790315628,0.594821572303772,-0.6165581941604614,-0.052284084260463715,0.6805235743522644,-0.6535127758979797,-0.05778242275118828,0.37432989478111267,-0.29952752590179443,-0.03932337462902069,0.5716733336448669,-0.45722171664237976,-0.05750418081879616,0.6938458681106567,-0.5461510419845581,-0.0678718090057373,0.7909059524536133,-0.6073681116104126,-0.0746443048119545,0.41385379433631897,-0.15632203221321106,-0.05698234215378761,0.5989587903022766,-0.3088749051094055,-0.07551927864551544,0.7156291604042053,-0.4069174528121948,-0.08800274133682251,0.8067368268966675,-0.48669999837875366,-0.09587641805410385,0.42914652824401855,-0.010981464758515358,-0.0730266198515892,0.5788733959197998,-0.11846821010112762,-0.08949527144432068,0.6645085215568542,-0.20277509093284607,-0.09231646358966827,0.7354015111923218,-0.2787116467952728,-0.09067871421575546
