label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
pain,0.0,0.0,0.0,0.07419613748788834,-0.33902356028556824,-0.013289841823279858,0.2786077558994293,-0.5059487223625183,-0.04172760620713234,0.47068360447883606,-0.5047177672386169,-0.07087239623069763,0.602696418762207,-0.454748272895813,-0.09195610880851746,0.4437916874885559,-0.433226615190506,-0.11117871105670929,0.77646803855896,-0.6051533818244934,-0.17574623227119446,0.8075674176216125,-0.5222209692001343,-0.19117118418216705,0.7173655033111572,-0.4434584379196167,-0.17987234890460968,0.5161819458007812,-0.17926034331321716,-0.12947404384613037,0.8445120453834534,-0.2531326413154602,-0.16967469453811646,0.7912003993988037,-0.19030813872814178,-0.15820419788360596,0.6699500679969788,-0.17745353281497955,-0.13683141767978668,0.5292099118232727,0.04733637720346451,-0.1442820280790329,0.7968376874923706,-0.011826503090560436,-0.1681647002696991,0.7327932119369507,0.02197476476430893,-0.12741273641586304,0.6292498707771301,0.031648389995098114,-0.0927090272307396,0.5048553943634033,0.23107367753982544,-0.158151313662529,0.7052007913589478,0.19022177159786224,-0.1648063212633133,0.6723108887672424,0.21577893197536469,-0.11318748444318771,0.5963177680969238,0.23603151738643646,-0.06600295752286911
pain,0.0,0.0,0.0,0.08614246547222137,-0.3504519462585449,-0.003126431256532669,0.29140612483024597,-0.5230126976966858,-0.02810823917388916,0.49394938349723816,-0.49955832958221436,-0.05523892864584923,0.6275705099105835,-0.41791588068008423,-0.07408598065376282,0.4644481837749481,-0.45709535479545593,-0.0949392095208168,0.7934406995773315,-0.5897899866104126,-0.15033204853534698,0.7613814473152161,-0.46687325835227966,-0.1684371680021286,0.6586584448814392,-0.3792009949684143,-0.1647036224603653,0.5400681495666504,-0.21226219832897186,-0.11605812609195709,0.8447542190551758,-0.2526516616344452,-0.13514444231987,0.7675055861473083,-0.1661745011806488,-0.12031301110982895,0.6484057903289795,-0.14452368021011353,-0.10584314912557602,0.5604271292686462,0.01152240950614214,-0.13374392688274384,0.8063942790031433,0.0007774294936098158,-0.13708654046058655,0.7383325099945068,0.04417908191680908,-0.0964609682559967,0.6384921669960022,0.052299804985523224,-0.07078099250793457,0.5457290410995483,0.19307132065296173,-0.15123198926448822,0.7410532832145691,0.18586590886116028,-0.14396977424621582,0.6971291303634644,0.21310065686702728,-0.09507445245981216,0.6209239363670349,0.22663480043411255,-0.055284399539232254
pain,0.0,0.0,0.0,0.10840093344449997,-0.0475216843187809,-0.0706959143280983,0.17111188173294067,-0.1697065681219101,-0.1021420955657959,0.1223425343632698,-0.2842938005924225,-0.13444024324417114,0.04030394181609154,-0.35440757870674133,-0.16366857290267944,0.17408093810081482,-0.45791301131248474,-0.04456533119082451,0.22857889533042908,-0.6457308530807495,-0.10289382934570312,0.26062384247779846,-0.753826916217804,-0.13949882984161377,0.28141114115715027,-0.8465996384620667,-0.15876008570194244,0.07381660491228104,-0.4927680492401123,-0.05097320303320885,0.06966160237789154,-0.7224337458610535,-0.11927127838134766,0.062306150794029236,-0.8653481602668762,-0.15873928368091583,0.05124629661440849,-0.9836335182189941,-0.17273938655853271,-0.010650557465851307,-0.4512711465358734,-0.06670030951499939,-0.0582902617752552,-0.5409860610961914,-0.16391931474208832,-0.029572665691375732,-0.4041970670223236,-0.1845422089099884,0.0011381739750504494,-0.3004545569419861,-0.16666586697101593,-0.08554136753082275,-0.3632972836494446,-0.08698618412017822,-0.10336171090602875,-0.40781307220458984,-0.15793980658054352,-0.07137320190668106,-0.32339149713516235,-0.1581886112689972,-0.03601717948913574,-0.2508869171142578,-0.13790708780288696
pain,0.0,0.0,0.0,0.11007172614336014,-0.040480926632881165,-0.0808129534125328,0.1770273894071579,-0.14719203114509583,-0.11668626964092255,0.11096915602684021,-0.22638419270515442,-0.1500496119260788,0.019680198282003403,-0.2778242528438568,-0.17939823865890503,0.15730102360248566,-0.46781519055366516,-0.05323777720332146,0.2113645374774933,-0.6540967226028442,-0.10926520824432373,0.2499207705259323,-0.7689226269721985,-0.14128310978412628,0.275546133518219,-0.8707168102264404,-0.15644720196723938,0.056900378316640854,-0.5039236545562744,-0.053732551634311676,0.04287484288215637,-0.7303208112716675,-0.11922761052846909,0.03060917928814888,-0.8705796599388123,-0.15698949992656708,0.017190231010317802,-0.9857908487319946,-0.16709549725055695,-0.024381132796406746,-0.46499282121658325,-0.06390073150396347,-0.08070645481348038,-0.5038434863090515,-0.1656462848186493,-0.06358279287815094,-0.3526684045791626,-0.19278058409690857,-0.0381413958966732,-0.24890024960041046,-0.1741955429315567,-0.0918949618935585,-0.3778572976589203,-0.0785682424902916,-0.12185095995664597,-0.3893318474292755,-0.1550336629152298,-0.0914928987622261,-0.27433350682258606,-0.1580480933189392,-0.05188138410449028,-0.1819695681333542,-0.13537096977233887
pain,0.0,0.0,0.0,0.11055207252502441,-0.0460103340446949,-0.07695576548576355,0.17666170001029968,-0.15450036525726318,-0.11134597659111023,0.10561984032392502,-0.2347024530172348,-0.14477206766605377,0.009536647237837315,-0.2736891210079193,-0.1756787896156311,0.1582973599433899,-0.46716776490211487,-0.05075599253177643,0.21004801988601685,-0.65311199426651,-0.10532922297716141,0.23966515064239502,-0.7733919620513916,-0.1377425491809845,0.2600195109844208,-0.8805035948753357,-0.15466734766960144,0.05774133279919624,-0.5014874935150146,-0.05332699045538902,0.03300061076879501,-0.7272176146507263,-0.12287506461143494,0.011583787389099598,-0.8691636323928833,-0.16621634364128113,-0.005259991157799959,-0.983515739440918,-0.1807461529970169,-0.024595268070697784,-0.45941051840782166,-0.06397756189107895,-0.07246069610118866,-0.5057384371757507,-0.16730450093746185,-0.05937141925096512,-0.35458141565322876,-0.19491957128047943,-0.03979625180363655,-0.24462756514549255,-0.17675743997097015,-0.09200747311115265,-0.3719935715198517,-0.07844498008489609,-0.11835171282291412,-0.4000239670276642,-0.15352380275726318,-0.09597000479698181,-0.29115524888038635,-0.15405720472335815,-0.06524218618869781,-0.19683624804019928,-0.1300288438796997
pain,0.0,0.0,0.0,0.10708828270435333,-0.04444412142038345,-0.07267720252275467,0.17065691947937012,-0.1500730663537979,-0.10693091154098511,0.10684589296579361,-0.21593372523784637,-0.14075416326522827,0.018253497779369354,-0.25813934206962585,-0.17222264409065247,0.14599603414535522,-0.46088624000549316,-0.052027828991413116,0.19820530712604523,-0.6461350917816162,-0.10760533064603806,0.22786858677864075,-0.7650368809700012,-0.13994713127613068,0.24649564921855927,-0.8718602061271667,-0.15579572319984436,0.044835254549980164,-0.49356114864349365,-0.057436514645814896,0.024348784238100052,-0.7169466614723206,-0.12579341232776642,0.0038380990736186504,-0.8603854775428772,-0.16810519993305206,-0.014140398241579533,-0.9833784103393555,-0.1810164898633957,-0.03686998412013054,-0.4556502401828766,-0.0702621340751648,-0.09012357145547867,-0.492821604013443,-0.17376023530960083,-0.07569701224565506,-0.336148738861084,-0.19970126450061798,-0.05356146767735481,-0.2298235446214676,-0.1795746237039566,-0.10225588083267212,-0.37075915932655334,-0.0866253450512886,-0.1324167251586914,-0.3870913088321686,-0.1633678823709488,-0.10304189473390579,-0.2671208679676056,-0.16187910735607147,-0.0626714751124382,-0.16844195127487183,-0.13502570986747742
pain,0.0,0.0,0.0,0.11501257866621017,-0.03168468177318573,-0.08105088025331497,0.18856839835643768,-0.13313573598861694,-0.11904934048652649,0.12338659167289734,-0.202614426612854,-0.15523658692836761,0.027027985081076622,-0.24546366930007935,-0.1885603666305542,0.16273163259029388,-0.45159146189689636,-0.059103742241859436,0.21455705165863037,-0.6376944780349731,-0.11753643304109573,0.2435963749885559,-0.7570947408676147,-0.15048910677433014,0.2608862519264221,-0.8655074834823608,-0.16643762588500977,0.05993110314011574,-0.48957329988479614,-0.06161878630518913,0.03643450886011124,-0.7125765085220337,-0.13453364372253418,0.01586487516760826,-0.857735276222229,-0.1775844842195511,-0.0029789565596729517,-0.9818162322044373,-0.18981057405471802,-0.023084096610546112,-0.4554152190685272,-0.07263612747192383,-0.08016718178987503,-0.474193274974823,-0.18195347487926483,-0.0636192113161087,-0.30804404616355896,-0.20856618881225586,-0.040441300719976425,-0.19614045321941376,-0.18679140508174896,-0.09087065607309341,-0.377114862203598,-0.08780553936958313,-0.12031368911266327,-0.3802334666252136,-0.16742582619190216,-0.09318862855434418,-0.2543911039829254,-0.16648180782794952,-0.05770337954163551,-0.15428458154201508,-0.13934093713760376
pain,0.0,0.0,0.0,0.10907620191574097,-0.03689825162291527,-0.07687325775623322,0.17852886021137238,-0.1455003172159195,-0.1115632951259613,0.1063779816031456,-0.21109461784362793,-0.1452191025018692,0.008421676233410835,-0.24398984014987946,-0.17624890804290771,0.1536407768726349,-0.45614033937454224,-0.054290346801280975,0.2086777687072754,-0.6509377360343933,-0.11166276782751083,0.23800580203533173,-0.7759633660316467,-0.14288325607776642,0.25391602516174316,-0.8837481141090393,-0.15722595155239105,0.049120061099529266,-0.4939061105251312,-0.05779220908880234,0.020430460572242737,-0.7158059477806091,-0.12983079254627228,-0.005707152653485537,-0.8603044748306274,-0.17286716401576996,-0.030749857425689697,-0.9824190139770508,-0.18413971364498138,-0.03537049517035484,-0.46067506074905396,-0.06942447274923325,-0.09813641756772995,-0.47110044956207275,-0.1774635910987854,-0.07384274154901505,-0.30555182695388794,-0.2052285075187683,-0.044079191982746124,-0.19586020708084106,-0.18384523689746857,-0.10288034379482269,-0.38265684247016907,-0.0849103108048439,-0.1371770054101944,-0.366621732711792,-0.164381742477417,-0.10594538599252701,-0.23936697840690613,-0.16532258689403534,-0.06676027923822403,-0.1426244080066681,-0.13878963887691498
pain,0.0,0.0,0.0,0.11059089750051498,-0.03765838220715523,-0.08720724284648895,0.17729978263378143,-0.1468058079481125,-0.12790550291538239,0.10410801321268082,-0.20247167348861694,-0.16513723134994507,0.0021776293870061636,-0.22506625950336456,-0.20020288228988647,0.14684394001960754,-0.45691215991973877,-0.06773024797439575,0.1953282207250595,-0.6501225829124451,-0.1297910213470459,0.220766082406044,-0.7769193649291992,-0.16317617893218994,0.2337065488100052,-0.8882724642753601,-0.17893439531326294,0.04317236691713333,-0.49557623267173767,-0.06572683900594711,0.013183336704969406,-0.7103161811828613,-0.14435556530952454,-0.014646022580564022,-0.8555066585540771,-0.188942089676857,-0.04418705776333809,-0.978898823261261,-0.19951079785823822,-0.040633704513311386,-0.46324753761291504,-0.07254798710346222,-0.11401990801095963,-0.46673762798309326,-0.1884223222732544,-0.08433160930871964,-0.29465773701667786,-0.22009402513504028,-0.051160167902708054,-0.1814720183610916,-0.19882544875144958,-0.10883721709251404,-0.38728880882263184,-0.08347372710704803,-0.1473703682422638,-0.3501148521900177,-0.17063374817371368,-0.1156792864203453,-0.21992067992687225,-0.1778436303138733,-0.07709693163633347,-0.12710580229759216,-0.15437941253185272
pain,0.0,0.0,0.0,0.1116652861237526,-0.03382980078458786,-0.0913546234369278,0.17613661289215088,-0.1404658704996109,-0.13347908854484558,0.09814655035734177,-0.19335302710533142,-0.17115004360675812,0.0006710386951453984,-0.2276654839515686,-0.20612652599811554,0.14496126770973206,-0.4537428617477417,-0.07523171603679657,0.19252175092697144,-0.6580754518508911,-0.13862477242946625,0.21861062943935394,-0.7877698540687561,-0.17087553441524506,0.2298002690076828,-0.9013108611106873,-0.18461856245994568,0.03972557187080383,-0.49188411235809326,-0.07110242545604706,0.007880239747464657,-0.7200918793678284,-0.150785431265831,-0.021173689514398575,-0.8614212274551392,-0.19369514286518097,-0.05185750871896744,-0.9781000018119812,-0.20157146453857422,-0.04660338535904884,-0.4603489637374878,-0.07588385045528412,-0.11057128757238388,-0.4534851014614105,-0.18970462679862976,-0.08172887563705444,-0.28322505950927734,-0.21952450275421143,-0.04943305626511574,-0.17343442142009735,-0.19699153304100037,-0.11452790349721909,-0.3881078064441681,-0.08547025918960571,-0.1493733823299408,-0.3446325659751892,-0.16876813769340515,-0.11929849535226822,-0.21125443279743195,-0.17327696084976196,-0.08270891010761261,-0.1179952546954155,-0.1481178253889084
