label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
yes,0.0,0.0,0.0,0.09836816042661667,-0.06878220289945602,-0.09199783951044083,0.14511707425117493,-0.17553281784057617,-0.14175334572792053,0.06108541041612625,-0.2276790291070938,-0.18042586743831635,-0.029597990214824677,-0.25247806310653687,-0.21474361419677734,0.08158981800079346,-0.4689739942550659,-0.1070961058139801,0.08080240339040756,-0.7054205536842346,-0.18590733408927917,0.07745573669672012,-0.8457255959510803,-0.23366893827915192,0.06265614181756973,-0.962250828742981,-0.2648537755012512,-0.027457542717456818,-0.4279356598854065,-0.0966857299208641,-0.05886176601052284,-0.5258368253707886,-0.2039223164319992,-0.044949766248464584,-0.32660338282585144,-0.2284242808818817,-0.024522533640265465,-0.2431778609752655,-0.22148598730564117,-0.11612897366285324,-0.3618603050708771,-0.09530281275510788,-0.15687473118305206,-0.41564756631851196,-0.1968197077512741,-0.1253630369901657,-0.24142184853553772,-0.17381206154823303,-0.08541476726531982,-0.18206210434436798,-0.13237448036670685,-0.18122988939285278,-0.26910972595214844,-0.10013673454523087,-0.22039538621902466,-0.3094879388809204,-0.16241852939128876,-0.17994572222232819,-0.19709552824497223,-0.1320604532957077,-0.1376902461051941,-0.15198229253292084,-0.09232352674007416
yes,0.0,0.0,0.0,0.08977041393518448,-0.07440739125013351,-0.08640841394662857,0.14571504294872284,-0.22627681493759155,-0.12740901112556458,0.06037724390625954,-0.2970052659511566,-0.1627744734287262,-0.04186507686972618,-0.30346545577049255,-0.19668437540531158,0.07893644273281097,-0.5044295787811279,-0.06684252619743347,0.07334398478269577,-0.7294012904167175,-0.12341626733541489,0.060450684279203415,-0.8715640902519226,-0.15848270058631897,0.04668932780623436,-0.9821405410766602,-0.18226361274719238,-0.012942955829203129,-0.4730839133262634,-0.0600653700530529,-0.052270736545324326,-0.5340710878372192,-0.16717083752155304,-0.05511409789323807,-0.37637418508529663,-0.20506881177425385,-0.035276155918836594,-0.2712365388870239,-0.20166052877902985,-0.08916308730840683,-0.4129088521003723,-0.06120377033948898,-0.1297929584980011,-0.4271707832813263,-0.1681668609380722,-0.10723774880170822,-0.2883036434650421,-0.1714538037776947,-0.07178612798452377,-0.21667100489139557,-0.14114870131015778,-0.15096184611320496,-0.3362462520599365,-0.06795207411050797,-0.18328151106834412,-0.35054507851600647,-0.14192891120910645,-0.15539132058620453,-0.25415030121803284,-0.13283810019493103,-0.11655595153570175,-0.19949886202812195,-0.10220756381750107
yes,0.0,0.0,0.0,0.0869448333978653,-0.07905235141515732,-0.08422001451253891,0.14150330424308777,-0.21707436442375183,-0.1276891678571701,0.0563286729156971,-0.27901017665863037,-0.16619470715522766,-0.047628022730350494,-0.2842229902744293,-0.20310606062412262,0.07282053679227829,-0.5028025507926941,-0.07436025142669678,0.06823205947875977,-0.7305163741111755,-0.13172009587287903,0.05352073907852173,-0.8687468767166138,-0.16713136434555054,0.03593045473098755,-0.9807393550872803,-0.19198769330978394,-0.020706236362457275,-0.4767061769962311,-0.0699826329946518,-0.05414854735136032,-0.5246694684028625,-0.17520377039909363,-0.05567244440317154,-0.3542307913303375,-0.21023419499397278,-0.03570818156003952,-0.2480744868516922,-0.20768879354000092,-0.1004113182425499,-0.4172883629798889,-0.0731724202632904,-0.13473111391067505,-0.4330880641937256,-0.17609341442584991,-0.10601004213094711,-0.2836996614933014,-0.17461401224136353,-0.06652873009443283,-0.20326797664165497,-0.1437244564294815,-0.16529127955436707,-0.3375055491924286,-0.08226591348648071,-0.1924840360879898,-0.35443246364593506,-0.152683287858963,-0.15844780206680298,-0.25989240407943726,-0.1416398286819458,-0.11568497121334076,-0.20188328623771667,-0.111134834587574
yes,0.0,0.0,0.0,0.08618767559528351,-0.0820579007267952,-0.0842060074210167,0.13754747807979584,-0.22643247246742249,-0.12555266916751862,0.04876229539513588,-0.2889658510684967,-0.16053247451782227,-0.05511372536420822,-0.3019549548625946,-0.1928481012582779,0.06241820752620697,-0.5010428428649902,-0.07464705407619476,0.05532868579030037,-0.7283797264099121,-0.13248686492443085,0.04094025120139122,-0.8680037260055542,-0.1673392653465271,0.02581212855875492,-0.981145441532135,-0.19153901934623718,-0.030721701681613922,-0.4667389988899231,-0.07045681029558182,-0.07222709059715271,-0.5338948965072632,-0.17262649536132812,-0.06909536570310593,-0.3726956248283386,-0.20561468601226807,-0.04202108085155487,-0.2731128931045532,-0.20204836130142212,-0.10768337547779083,-0.39985042810440063,-0.07400863617658615,-0.14056454598903656,-0.42948275804519653,-0.1760299801826477,-0.11206774413585663,-0.287411630153656,-0.17284923791885376,-0.07223363220691681,-0.21945269405841827,-0.1412113755941391,-0.16838455200195312,-0.31434834003448486,-0.0833699107170105,-0.197367325425148,-0.3410628139972687,-0.1519341915845871,-0.1641339361667633,-0.2535570561885834,-0.13871130347251892,-0.1220935583114624,-0.2056468278169632,-0.10744903236627579
yes,0.0,0.0,0.0,0.08560939878225327,-0.08288221061229706,-0.08731024712324142,0.1365332007408142,-0.2222263664007187,-0.12911216914653778,0.05133054405450821,-0.28677111864089966,-0.163630411028862,-0.050393957644701004,-0.30040696263313293,-0.1950489580631256,0.06446331739425659,-0.5036501884460449,-0.07491578161716461,0.05699571222066879,-0.7315577864646912,-0.13160540163516998,0.04120036959648132,-0.8724644184112549,-0.16484075784683228,0.023743798956274986,-0.9819759130477905,-0.18750911951065063,-0.024945074692368507,-0.46846771240234375,-0.06841550022363663,-0.07297970354557037,-0.5276946425437927,-0.1701088398694992,-0.06883590668439865,-0.37083566188812256,-0.2031133770942688,-0.039394862949848175,-0.27138614654541016,-0.19877652823925018,-0.0994105413556099,-0.39884862303733826,-0.07009098678827286,-0.1321946382522583,-0.42439553141593933,-0.17259976267814636,-0.10437379032373428,-0.29183292388916016,-0.1738249808549881,-0.0651387870311737,-0.22738009691238403,-0.14454780519008636,-0.15741387009620667,-0.3106880486011505,-0.07772938907146454,-0.1815338432788849,-0.32298678159713745,-0.14952652156352997,-0.14937086403369904,-0.24132899940013885,-0.14212670922279358,-0.10980159044265747,-0.19845569133758545,-0.11404232680797577
yes,0.0,0.0,0.0,0.0860622376203537,-0.10171351581811905,-0.07013430446386337,0.12577325105667114,-0.25069934129714966,-0.09983401000499725,0.04875359684228897,-0.3169287145137787,-0.12595568597316742,-0.04257170110940933,-0.33301883935928345,-0.14975206553936005,0.07165775448083878,-0.5129867196083069,-0.04595750570297241,0.0711401030421257,-0.7390135526657104,-0.09440920501947403,0.05977978557348251,-0.8783174753189087,-0.12651687860488892,0.04664032906293869,-0.9879134297370911,-0.1478232741355896,-0.020346438512206078,-0.47564753890037537,-0.042855650186538696,-0.07021944969892502,-0.5558471083641052,-0.13587038218975067,-0.06934922188520432,-0.4157440662384033,-0.16923746466636658,-0.04436087608337402,-0.30883681774139404,-0.16567325592041016,-0.09738060086965561,-0.4144432842731476,-0.047283921390771866,-0.13674357533454895,-0.45241838693618774,-0.13680343329906464,-0.11058107763528824,-0.33113789558410645,-0.13886678218841553,-0.07596198469400406,-0.25202593207359314,-0.11130501329898834,-0.15650120377540588,-0.338232159614563,-0.05703020840883255,-0.18552015721797943,-0.3810078203678131,-0.11625513434410095,-0.1577848196029663,-0.30161893367767334,-0.10653053969144821,-0.12229076027870178,-0.24480290710926056,-0.07842709869146347
yes,0.0,0.0,0.0,0.08865176141262054,-0.08831128478050232,-0.0776868537068367,0.13334496319293976,-0.2422565519809723,-0.10940025001764297,0.049087122082710266,-0.31839677691459656,-0.1337328404188156,-0.047080062329769135,-0.34801602363586426,-0.15396663546562195,0.0823293924331665,-0.504758358001709,-0.06287060678005219,0.07938140630722046,-0.733120858669281,-0.11519245058298111,0.06501016765832901,-0.870035707950592,-0.14864523708820343,0.05159331113100052,-0.9838096499443054,-0.17162957787513733,-0.012065107002854347,-0.475739061832428,-0.05732370540499687,-0.05307943746447563,-0.5574209094047546,-0.14730381965637207,-0.05152668058872223,-0.41275542974472046,-0.17584744095802307,-0.026097891852259636,-0.31426918506622314,-0.1722584068775177,-0.09371203929185867,-0.42223381996154785,-0.060127656906843185,-0.13123123347759247,-0.4884225130081177,-0.14710578322410583,-0.10692925751209259,-0.35858669877052307,-0.14239493012428284,-0.0730174109339714,-0.28287819027900696,-0.11389707028865814,-0.15732014179229736,-0.3491339385509491,-0.06932549178600311,-0.1861218512058258,-0.4069627523422241,-0.12643419206142426,-0.16044683754444122,-0.32477858662605286,-0.1128210499882698,-0.1315365433692932,-0.26818937063217163,-0.08459663391113281
yes,0.0,0.0,0.0,0.09167837351560593,-0.09054545313119888,-0.0848548412322998,0.12994371354579926,-0.2588862478733063,-0.11095674335956573,0.03632364422082901,-0.3439990282058716,-0.12745161354541779,-0.06096306070685387,-0.375667005777359,-0.13768517971038818,0.09222244471311569,-0.5141661167144775,-0.054758451879024506,0.0897774025797844,-0.7463515996932983,-0.1007099524140358,0.07488846033811569,-0.8753553032875061,-0.12726636230945587,0.0575014129281044,-0.987679123878479,-0.1455458700656891,0.0004120353260077536,-0.49249324202537537,-0.04454006999731064,-0.04547945410013199,-0.5609021782875061,-0.12462639808654785,-0.027477674186229706,-0.40952739119529724,-0.14556819200515747,0.007494484540075064,-0.3189612627029419,-0.1382332146167755,-0.0825798436999321,-0.4431537389755249,-0.04491277039051056,-0.11960893124341965,-0.507148265838623,-0.12961919605731964,-0.08416948467493057,-0.3679789900779724,-0.12326787412166595,-0.04935315623879433,-0.2991742789745331,-0.09413320571184158,-0.15349408984184265,-0.36968937516212463,-0.052741263061761856,-0.16948239505290985,-0.43284204602241516,-0.11162437498569489,-0.1342383176088333,-0.34880781173706055,-0.0994817465543747,-0.1076725572347641,-0.29034343361854553,-0.07224655896425247
yes,0.0,0.0,0.0,0.09718452394008636,-0.09368349611759186,-0.0735442265868187,0.12880174815654755,-0.26769617199897766,-0.09907060861587524,0.029357025399804115,-0.34543129801750183,-0.11817567050457001,-0.07357797771692276,-0.35520055890083313,-0.1322399526834488,0.09124554693698883,-0.513512134552002,-0.05027051270008087,0.0883546844124794,-0.7406812906265259,-0.09353633224964142,0.07617785036563873,-0.8749416470527649,-0.11971019208431244,0.06349430978298187,-0.9881846308708191,-0.1394978165626526,-0.0009478370775468647,-0.49414876103401184,-0.04762827977538109,-0.04193245619535446,-0.5707237720489502,-0.12914253771305084,-0.029155472293496132,-0.4552030861377716,-0.1582856923341751,-0.003344903467223048,-0.36980146169662476,-0.1563485711812973,-0.08011791110038757,-0.4418264925479889,-0.05317232757806778,-0.10763050615787506,-0.49113407731056213,-0.13626909255981445,-0.06693343818187714,-0.3732689917087555,-0.1395767331123352,-0.031192205846309662,-0.30764153599739075,-0.11725619435310364,-0.1421588957309723,-0.3665408194065094,-0.06522544473409653,-0.13731007277965546,-0.39598315954208374,-0.12214997410774231,-0.09407269209623337,-0.32145971059799194,-0.11724096536636353,-0.0612497441470623,-0.2730375826358795,-0.09629011899232864
yes,0.0,0.0,0.0,0.10594592988491058,-0.08238913118839264,-0.08404305577278137,0.13783001899719238,-0.25201135873794556,-0.10815757513046265,0.038782261312007904,-0.3505726456642151,-0.12266053259372711,-0.0607168935239315,-0.3779970705509186,-0.1311207413673401,0.09929025173187256,-0.5118151903152466,-0.055138301104307175,0.1068364679813385,-0.7369779348373413,-0.09710915386676788,0.09771007299423218,-0.8709763288497925,-0.12209136039018631,0.08438941836357117,-0.9863553047180176,-0.1413562297821045,0.00917018111795187,-0.4931574761867523,-0.04597517102956772,-0.044602714478969574,-0.5728638172149658,-0.12190725654363632,-0.02557709813117981,-0.4446699321269989,-0.146179661154747,0.005105926655232906,-0.3565399646759033,-0.1429307758808136,-0.07166612148284912,-0.44086888432502747,-0.04644770547747612,-0.10638542473316193,-0.4976530969142914,-0.12956620752811432,-0.06600692868232727,-0.36964151263237,-0.13048012554645538,-0.032344426959753036,-0.30121126770973206,-0.1072663739323616,-0.13830570876598358,-0.36255955696105957,-0.05430928245186806,-0.1465616673231125,-0.4111255407333374,-0.11506681144237518,-0.09948955476284027,-0.3305332362651825,-0.1094440370798111,-0.06648419797420502,-0.2711377739906311,-0.08745215088129044
